Fitur Kontras,Derajat 0,Derajat 45,Derajat 90,Derajat 135,Fitur Dissimilarity,Derajat 0,Derajat 45,Derajat 90,Derajat 135,Fitur Homogenitas,Derajat 0,Derajat 45,Derajat 90,Derajat 135,Fitur Entropi,Derajat 0,Derajat 45,Derajat 90,Derajat 135,Fitur ASM,Derajat 0,Derajat 45,Derajat 90,Derajat 135,Fitur Energy,Derajat 0,Derajat 45,Derajat 90,Derajat 135,Fitur Correlations,Derajat 0,Derajat 45,Derajat 90,Derajat 135
0_left,994.0688965782392,1220.5135255670905,723.0521184159941,1220.3547866205308,0_left,4.08399846212995,4.953387158785078,3.0233294886582094,4.9519415609381,0_left,0.9382901777866536,0.9406180067420462,0.9411708214224048,0.9409203800134396,0_left,0.9845688977351674,0.9765814498113818,0.964591567469537,0.9783723159838291,0_left,0.8163861534343176,0.8226713344363309,0.8190581276151292,0.8220632822587237,0_left,0.9035408974884964,0.9070123121746093,0.9050183023647252,0.9066770551076738,0_left,0.7062763996794534,0.6376632212111186,0.7853457827420636,0.6377103464230558
103_left,1172.17753171857,1409.9819915417152,833.404275278739,1425.490580545945,103_left,4.819008073817761,5.730396001537868,3.493840830449827,5.789296424452135,103_left,0.9258695941445336,0.9285961423082724,0.9290631727477376,0.9289040822658912,103_left,1.1389575088028476,1.1306199771374452,1.117830290758374,1.130929529103335,103_left,0.7824437873760144,0.7893028161025814,0.7845015672409439,0.7891973121862895,103_left,0.8845585268234174,0.8884271585800275,0.8857209307908128,0.8883677797997233,103_left,0.6668548868611589,0.5975425926322078,0.7621177249567787,0.5931159073553625
1062_right,1839.014625144176,2089.5860668973487,1332.257870049981,2020.6940407535578,1062_right,7.5349480968858105,8.48633602460593,5.55512495194156,8.214809688581314,1062_right,0.8934759009759226,0.8979751453640181,0.8965783087653872,0.8988948483546265,1062_right,1.5187308832158062,1.5097053796262674,1.499595942493277,1.506174051439956,1062_right,0.7041996073730847,0.7125265678876354,0.703534639576858,0.7132348124468143,1062_right,0.8391660189575628,0.844112888118429,0.8387697178468343,0.8445323039687791,1062_right,0.5847618942860424,0.5281844155661845,0.699184429140309,0.5437398081354533
1083_left,1732.9036216839681,2116.256101499424,1428.7720876585934,2092.117877739332,1083_left,7.187420222991154,8.644321414840448,6.002383698577468,8.553433294886585,1083_left,0.8742688811144099,0.8808035948107569,0.8756951025234327,0.880126593155062,1083_left,1.7497925335613542,1.7380844674582265,1.7366395155533496,1.7410070969716456,1083_left,0.6498108551689742,0.6621774570186458,0.6487818787941407,0.6605771419947463,1083_left,0.8061084636505029,0.8137428691046367,0.8054699738625524,0.8127589691875114,1083_left,0.6197305898803315,0.535608109403949,0.6864698131060197,0.5409050086590238
1084_right,2020.8199307958482,2244.640199923107,1150.7273356401388,2207.320123029604,1084_right,8.280938100730495,9.119277201076507,4.873217993079586,8.971826220684346,1084_right,0.8825231802257087,0.8884692748134946,0.888791498936511,0.8887815934960861,1084_right,1.6423325738354693,1.6282181868531547,1.6053284213425612,1.6284804788552694,1084_right,0.6768493350604069,0.6874549855946631,0.6770497192322887,0.6864295492181237,1084_right,0.8227085359107482,0.8291290524367501,0.8228303101079157,0.8285104400175798,1084_right,0.569823699341321,0.522178605883286,0.7550421934960362,0.5301230110357941
1101_right,908.115893886967,1092.715263360247,604.0120569011917,1092.8654825067288,1101_right,3.7418838908112284,4.444567474048441,2.551203383314111,4.445336409073431,1101_right,0.9419883535746056,0.9449200950495572,0.9441149825599991,0.944714138013306,1101_right,0.926006904891178,0.9193484441981797,0.9104990990531078,0.9195917559934608,1101_right,0.8295945491641713,0.8349616154789785,0.8298767818428454,0.8349619834798702,1101_right,0.9108208106780231,0.9137623408080344,0.9109757306552384,0.9137625421737696,1101_right,0.6943204875487077,0.6321827740263942,0.7966844184633994,0.6321322089875412
1102_left,981.2781237985392,1144.2242214532878,669.2324183006533,1169.8938869665517,1102_left,4.054932718185311,4.66992695117262,2.833310265282585,4.770872741253364,1102_left,0.9336962863503693,0.9373989988795368,0.9358644439526697,0.9368350740914495,1102_left,1.035755343313357,1.026165172139005,1.020080602798906,1.0278433711110553,1102_left,0.8058301728507401,0.812373285464837,0.8059246757635141,0.8120163294483047,1102_left,0.8976804402741212,0.9013175275477766,0.8977330760106337,0.9011194867764789,1102_left,0.6812148949281869,0.6282790476876184,0.7825883186312247,0.6199398145799574
1102_right,1463.8761399461748,1711.9822222222228,1056.0877201076516,1732.9464052287587,1102_right,6.031403306420609,6.970272971933872,4.434294502114572,7.055993848519794,1102_right,0.9055589224279482,0.9102721091862532,0.9079179891789504,0.9093265441076552,1102_right,1.3924554732729408,1.383036623795766,1.3712704996634095,1.3871352602085887,1102_right,0.7299020901817992,0.7384123445851795,0.730481864825598,0.7370913441300562,1102_right,0.8543430752231794,0.8593092252415189,0.8546823180723923,0.8585402402508902,1102_right,0.6622309447719523,0.6049840493510785,0.7563225310917828,0.6001468573683513
1115_left,936.7945866974247,1326.8213763936951,939.061345636294,1334.9228758169943,1115_left,3.8879815455594007,5.392725874663586,3.902775855440215,5.426866589773161,1115_left,0.9309837865102251,0.9329887860694037,0.9295933907443407,0.9322332540286562,1115_left,1.0937787032007338,1.0954434512766371,1.0950212302830304,1.0975176058852616,1115_left,0.7928424683908133,0.7986757236037777,0.7913219507890453,0.7980780610657394,1115_left,0.8904170193739634,0.8936865913751743,0.8895627863108063,0.8933521484083079,1115_left,0.7487166043500235,0.6440968109598277,0.7481085747015096,0.6419236853740792
1126_right,2179.57047289504,2431.872895040368,1563.1127258746644,2366.337054978855,1126_right,9.009427143406386,9.950588235294118,6.603506343713953,9.688227604767402,1126_right,0.8508921780568649,0.8584106196338493,0.8531273939055637,0.8600404204161523,1126_right,2.0148384905102326,2.001994784709603,1.9919357140853085,1.9950511366792347,1126_right,0.5949326898047816,0.6071183449538307,0.5923666516338539,0.6090717591982854,1126_right,0.7713187990738859,0.7791779931144299,0.7696535919709944,0.7804304960714217,1126_right,0.6088947565707011,0.5659433569147281,0.7210053765800278,0.5776406239869046
