Fitur Kontras,Derajat 0,Derajat 45,Derajat 90,Derajat 135,Fitur Dissimilarity,Derajat 0,Derajat 45,Derajat 90,Derajat 135,Fitur Homogenitas,Derajat 0,Derajat 45,Derajat 90,Derajat 135,Fitur Entropi,Derajat 0,Derajat 45,Derajat 90,Derajat 135,Fitur ASM,Derajat 0,Derajat 45,Derajat 90,Derajat 135,Fitur Energy,Derajat 0,Derajat 45,Derajat 90,Derajat 135,Fitur Correlations,Derajat 0,Derajat 45,Derajat 90,Derajat 135
0_left,222.55873894655895,293.02948096885797,177.0606689734713,273.3814071510955,0_left,2.620776624375236,3.0319723183390987,2.2919492502883556,2.940715109573239,0_left,0.6825492637584004,0.6764716836326876,0.6952394744523818,0.6805623774104284,0_left,5.544355260384156,5.588989524690625,5.516843805306168,5.571454101977407,0_left,0.17782268263721945,0.1768128113266701,0.17852579398601753,0.17685205084076588,0_left,0.4216902686062597,0.42049115487328637,0.42252312834449374,0.4205378114281353,0_left,0.982798756763213,0.9773521749738836,0.98631523682648,0.9788707461990503
103_left,200.39006535947664,253.2480738177623,131.41271818531325,236.54803537101097,103_left,2.127920030757407,2.4461668589004324,1.6354017685505622,2.3723490965013503,103_left,0.7609063664489552,0.7547756357629846,0.7786662411501513,0.7580062183479418,103_left,4.955609692308746,4.9984051700514405,4.8740929199837,4.981855184499801,103_left,0.31748107161930583,0.31650441842008836,0.3187121931780002,0.31645669951269734,103_left,0.5634545870070682,0.5625872540505058,0.5645460062545835,0.5625448422238865,103_left,0.9869614009684718,0.9835221367681417,0.991449487593171,0.9846087430563712
1062_right,253.10972702806632,358.309234909651,238.39744713571744,364.58491349480823,1062_right,2.9243521722414503,3.513817762399083,2.8987312572087713,3.5393464052287693,1062_right,0.6111870692988007,0.6057604327412375,0.6111655614066644,0.6061465019258475,1062_right,7.408745530124237,7.450658055037458,7.41087793781188,7.45032675764858,1062_right,0.09457246068520356,0.09371018670398706,0.09464927212066573,0.09362673457891348,1062_right,0.30752635770808906,0.3061211961037443,0.30765121829868597,0.3059848600485218,1062_right,0.9865536753227915,0.9809650053199926,0.9873352576606073,0.9806316131077825
1083_left,56.92582852748934,70.72891964628988,62.08781237985391,97.50499038831235,1083_left,1.5235678585159673,1.7275816993464168,1.2387850826605227,1.8486120722799058,1083_left,0.756727543229957,0.7461170830458478,0.7849982365226527,0.747601338629397,1083_left,5.468033805908631,5.520537032753058,5.322983218376041,5.541951050344831,1083_left,0.3181993427837546,0.3171476427086202,0.31920147164880974,0.3169700913838332,1083_left,0.564091608503224,0.5631586301466224,0.5649791780665989,0.5630009692565664,1083_left,0.9924709310665648,0.9906453199649576,0.9917882017455683,0.9871038891663552
1084_right,187.4764475201843,220.4860899653973,120.31181853133535,218.92075355632383,1084_right,3.2636063052672135,3.5880353710111628,2.8094425221068824,3.5916647443291274,1084_right,0.5754852038928786,0.5707490224989362,0.5834026274086819,0.5704792869933178,1084_right,7.346228192676227,7.387878641140442,7.291252851815201,7.386127826311386,1084_right,0.10988206547004294,0.10945241414113194,0.1109830186567997,0.10942598193313106,1084_right,0.33148463836208597,0.3308359323609392,0.3331411392440143,0.33079598234127794,1084_right,0.9797090331511434,0.976137360947291,0.9869789631634415,0.9763067732568467
1101_right,151.9776393694735,193.7578469819301,97.66751249519403,182.16150711264942,1101_right,2.429588619761633,2.7686274509803916,1.9564475201845482,2.7423606305267323,1101_right,0.7250670410027845,0.7155763369529441,0.7622592170570223,0.713097861020387,1101_right,5.280014318786441,5.317551641741264,5.188178491975984,5.322877698692771,1101_right,0.24697714885337488,0.24577241314781337,0.24812754695684575,0.2459402031070474,1101_right,0.49696795555988804,0.49575438792592985,0.49812402768471803,0.4959235859555859,1101_right,0.990650091348318,0.9880797058215691,0.9939913376477243,0.9887931312894302
1102_left,137.67609381007202,165.5108650519023,87.77494809688652,166.02626682045315,1102_left,2.051180315263362,2.316862745098042,1.556386005382557,2.3213533256439964,1102_left,0.7449871680842868,0.7375610479226482,0.7644303177352942,0.7380843713464185,1102_left,5.3356462634876864,5.3845051984609205,5.227348480574122,5.389729889940674,1102_left,0.3165652214620082,0.31532706117674847,0.31742855770286804,0.3153933635379052,1102_left,0.5626412902214059,0.5615399016781875,0.563407985125227,0.5615989347727658,1102_left,0.9879536991825217,0.9855182289546451,0.9923199198949363,0.985473132637819
1102_right,144.16962706651245,173.47038831218694,92.20441368704354,173.48684352172157,1102_right,2.002522106881981,2.316401384083055,1.494071510957333,2.2997923875432607,1102_right,0.756130116821476,0.7456738836713908,0.7791363656794381,0.7464104432744613,1102_right,5.11893200560124,5.193155166263304,4.996565153085281,5.185590173621308,1102_right,0.3167363816093566,0.31544529967402307,0.3176327091538004,0.31549659866720886,1102_right,0.5627933738143659,0.5616451723944781,0.5635891315078746,0.5616908390451182,1102_right,0.9889094465157268,0.9866554234850982,0.9929069804626015,0.9866541576333018
1115_left,188.13480968858187,244.82666666666518,160.69616301422514,239.33908496731928,1115_left,1.5994156093810237,2.1436985774702353,1.5625374855824903,2.0646212995002124,1115_left,0.823550571180485,0.7682707410066403,0.7818159302549738,0.7791330038716068,1115_left,5.085367371101569,5.298371129253928,5.216559768909741,5.266647977136951,1115_left,0.31748797139951934,0.31643863258460464,0.31839983882223155,0.3165135530489041,1115_left,0.5634607097212009,0.5625287837831986,0.5642692963667539,0.5625953724026745,1115_left,0.9866366537937044,0.9826097918156897,0.9885856399252373,0.9829995785553424
1126_right,242.36382929642343,296.9023606305288,158.00064590542078,287.8776163014234,1126_right,2.0736947327950874,2.3660745866974318,1.5866512879661752,2.347004998077673,1126_right,0.7721850477759986,0.7688843295652947,0.7836974395489776,0.7689324706409669,1126_right,4.8181697062574385,4.83889331764642,4.767250650659044,4.838495091983613,1126_right,0.3165068656496679,0.315584539528094,0.31782145411496265,0.3155819396349053,1126_right,0.5625894290241045,0.5617691158546312,0.563756555717947,0.5617668018269727,1126_right,0.9879874881167942,0.9852843423642064,0.9921688618223155,0.985731644458793
112_right,218.29576316801268,308.62311418685107,211.81062668204572,310.55151095732396,112_right,2.3723798539023617,2.9468665897731725,2.3530334486735978,2.9609842368319943,112_right,0.6811638844514205,0.6664916903595868,0.6791678760138089,0.661272595880482,112_right,6.6869440771100805,6.748025196689875,6.69158006874385,6.757309571116766,112_right,0.0749925820681455,0.0738431278538509,0.07496664640119341,0.07385376771510559,112_right,0.2738477351890015,0.27174092046258125,0.2738003769193779,0.2717604969731723,112_right,0.9836259300377046,0.9768505976005248,0.9841123713547294,0.9767059511668212
1144_left,180.1427758554393,222.87387927720118,122.38019223375647,215.85205690119233,1144_left,2.3317800845828622,2.67638600538256,1.7977393310265475,2.6479661668589154,1144_left,0.7328923388907073,0.7234791016871848,0.7498807405732392,0.7259053625920878,1144_left,5.495779748450411,5.5524095693396545,5.3847759134023,5.551775530695746,1144_left,0.3155613168034477,0.31446197373884377,0.316699426491541,0.31446279937580573,1144_left,0.5617484461958463,0.5607690912834299,0.5627605409866091,0.5607698274477736,1144_left,0.9876118667058637,0.9846733164227307,0.991584108067867,0.9851561960228077
1144_right,214.73205690119178,251.06300653594633,147.45076509034945,272.32021530180873,1144_right,2.6502422145328857,2.978485198000783,2.0118723567858687,3.0314186851211318,1144_right,0.7189648229118671,0.7138916350356755,0.7368910459423157,0.7124824332304204,1144_right,5.6677073365584905,5.725090784157039,5.5439424988347055,5.717750409868943,1144_right,0.31567191739018535,0.31455866609136973,0.3167388225715689,0.31462829039373713,1144_right,0.5618468807336972,0.5608552987102553,0.5627955424233287,0.5609173650313717,1144_right,0.9854119832092738,0.9829438072371192,0.9899827987121027,0.981499679504747
1164_left,215.3557247212611,305.1049903883129,207.07272587466383,301.28033833141143,1164_left,3.9272279892349213,4.485536332179943,3.90431372549019,4.4752326028450655,1164_left,0.5334024427025308,0.5296460405794495,0.5345504352598057,0.5303578250943358,1164_left,7.7731775776638115,7.811168557404551,7.772107286695672,7.8122509533170295,1164_left,0.09431682659539603,0.09330171162689771,0.09431891623027905,0.09325710251624456,1164_left,0.30711044690045314,0.30545328878062145,0.3071138489718089,0.30538025888430403,1164_left,0.9795817525872599,0.9710724700322063,0.9803670779831282,0.971435091885266
1167_right,103.58775855440271,137.7907266435972,80.91051134179177,126.39569396385986,1167_right,2.4675432525951724,2.973963860053838,2.359615532487512,2.9277662437524086,1167_right,0.6066523555245883,0.5831669045697996,0.6110510725121672,0.5848691756550577,1167_right,7.764087693127555,7.902687638395434,7.75561084781323,7.8979021889682555,1167_right,0.07434035334648594,0.07319992071189008,0.07427091304456437,0.07321500910320329,1167_right,0.2726542743961406,0.2705548386406905,0.2725269033408709,0.27058272136853695,1167_right,0.9833320504109345,0.9778285685723177,0.9869809681849397,0.979662104049117
119_left,130.37530180699477,157.7539407920004,86.81128796616743,160.73756247596862,119_left,2.446505190311439,2.7432218377547306,1.90391387927722,2.790372933487143,119_left,0.7137388969617794,0.7063316006183589,0.7301914335439043,0.7051975490516215,119_left,5.824177871577015,5.873570494128509,5.706900744534549,5.887182510277455,119_left,0.31640789954356113,0.3153473713493508,0.3175913768120119,0.31558641855578273,119_left,0.5625014662590322,0.5615579857408768,0.56355246145502,0.5617707882720342,119_left,0.9893820619093626,0.9871523091132461,0.9929299731742306,0.9869093189925161
1285_left,190.7385467128022,228.9691349480957,95.32416762783656,185.4773702422137,1285_left,3.2452133794694413,3.5111418685121207,2.717047289504054,3.319123414071528,1285_left,0.6416636903811502,0.6385047124841747,0.6494420363255446,0.6420128245655179,1285_left,6.771264303651566,6.792875992544751,6.728094652102197,6.78875695215007,1285_left,0.24405672606031967,0.2432056762245497,0.24524591254568795,0.24323686938495995,1285_left,0.49402097734845196,0.4931588752365202,0.4952230937120036,0.4931905000960176,1285_left,0.9654743732748897,0.9585542460030768,0.9827453512353953,0.9664266999969336
1415_left,221.0578392925778,247.0254517493252,146.22234525182657,286.2947174163752,1415_left,2.608565936178423,2.893256439830881,1.9841291810842336,3.097608612072337,1415_left,0.6697039650416797,0.6658185843507788,0.6964972120110102,0.6560660290388878,1415_left,7.245930359185633,7.298810329449647,7.092513485010417,7.329706217563669,1415_left,0.1753497320183096,0.17435073825596611,0.17606523927374812,0.17422573726929924,1415_left,0.41874781434451647,0.41755327594926867,0.41960128607256214,0.41740356643097726,1415_left,0.974729500750358,0.9717609811393674,0.9832844124515463,0.9672718666535437
